timestamp,scenario_name,import_price,export_price,battery_soc,is_night,expected_action,actual_action,pass_fail
2026-05-01T07:43:09.413358,Negative Solar Soak,-0.02,-0.01,40,False,CHARGE,CHARGE,PASS
2026-05-01T07:43:09.413486,Cheap Midday,0.04,0.02,60,False,CHARGE,CHARGE,PASS
2026-05-01T07:43:09.413536,Peak Price Spike,0.35,0.32,80,False,EXPORT,EXPORT,PASS
2026-05-01T07:43:09.413578,Peak But Low Battery,0.4,0.38,20,False,HOLD,HOLD,PASS
2026-05-01T07:43:09.413616,Battery Full During Cheap Price,0.02,0.01,97,False,HOLD,HOLD,PASS
2026-05-01T07:43:09.413651,Normal Conditions,0.18,0.08,65,False,HOLD,HOLD,PASS
2026-05-01T07:43:09.413687,Night Protection Case,0.25,0.35,50,True,HOLD,HOLD,PASS
2026-05-01T07:44:08.215011,Negative Solar Soak,-0.02,-0.01,40,False,CHARGE,CHARGE,PASS
2026-05-01T07:44:08.215119,Cheap Midday,0.04,0.02,60,False,CHARGE,CHARGE,PASS
2026-05-01T07:44:08.215169,Peak Price Spike,0.35,0.32,80,False,EXPORT,EXPORT,PASS
2026-05-01T07:44:08.215210,Peak But Low Battery,0.4,0.38,20,False,HOLD,HOLD,PASS
2026-05-01T07:44:08.215247,Battery Full During Cheap Price,0.02,0.01,97,False,HOLD,HOLD,PASS
2026-05-01T07:44:08.215283,Normal Conditions,0.18,0.08,65,False,HOLD,HOLD,PASS
2026-05-01T07:44:08.215317,Night Protection Case,0.25,0.35,50,True,HOLD,HOLD,PASS
2026-05-01T07:44:16.798868,Manual Input,0.04,0.02,60.0,False,N/A,CHARGE,FAIL
2026-05-01T07:44:55.777644,Manual Input,0.04,0.02,60.0,False,N/A,CHARGE,N/A
2026-05-01T07:44:59.667210,Negative Solar Soak,-0.02,-0.01,40,False,CHARGE,CHARGE,PASS
2026-05-01T07:44:59.667361,Cheap Midday,0.04,0.02,60,False,CHARGE,CHARGE,PASS
2026-05-01T07:44:59.667572,Peak Price Spike,0.35,0.32,80,False,EXPORT,EXPORT,PASS
2026-05-01T07:44:59.667625,Peak But Low Battery,0.4,0.38,20,False,HOLD,HOLD,PASS
2026-05-01T07:44:59.667667,Battery Full During Cheap Price,0.02,0.01,97,False,HOLD,HOLD,PASS
2026-05-01T07:44:59.667707,Normal Conditions,0.18,0.08,65,False,HOLD,HOLD,PASS
2026-05-01T07:44:59.667747,Night Protection Case,0.25,0.35,50,True,HOLD,HOLD,PASS
2026-05-01T07:46:39.210804,Negative Solar Soak,-0.02,-0.01,40,False,CHARGE,CHARGE,Cheap import price,PASS
2026-05-01T07:46:39.210909,Cheap Midday,0.04,0.02,60,False,CHARGE,CHARGE,Cheap import price,PASS
2026-05-01T07:46:39.210961,Peak Price Spike,0.35,0.32,80,False,EXPORT,EXPORT,Export price above threshold,PASS
2026-05-01T07:46:39.211002,Peak But Low Battery,0.4,0.38,20,False,HOLD,HOLD,Battery below reserve SoC,PASS
2026-05-01T07:46:39.211043,Battery Full During Cheap Price,0.02,0.01,97,False,HOLD,HOLD,Battery already full,PASS
2026-05-01T07:46:39.211087,Normal Conditions,0.18,0.08,65,False,HOLD,HOLD,No price signal,PASS
2026-05-01T07:46:39.211122,Night Protection Case,0.25,0.35,50,True,HOLD,HOLD,Battery below reserve SoC,PASS
2026-05-01T07:46:48.729276,Manual Input,0.04,0.02,60.0,False,N/A,CHARGE,Cheap import price,N/A
