timestamp,price,regime,action,simulated_soc,simulated_cashflow,reason
2026-05-11T07:42:12.765193,0.123061,normal,HOLD,50.00,0.000000,No price signal
2026-05-12T20:47:29.373506,0.254726,price_spike,EXPORT,46.91,0.085302,Price at or above export threshold
2026-05-12T20:52:29.371017,0.108958,normal,HOLD,46.91,0.000000,No price signal
2026-05-12T20:57:29.365415,0.133045,normal,HOLD,46.91,0.000000,No price signal
2026-05-13T06:02:05.178787,0.291877,price_spike,EXPORT,43.83,0.100782,Price at or above export threshold
2026-05-13T07:52:26.072014,0.167772,normal,HOLD,43.83,0.000000,No price signal
2026-05-13T07:57:26.079927,0.225635,normal,HOLD,43.83,0.000000,No price signal
2026-05-13T08:02:26.086967,0.101515,normal,HOLD,43.83,0.000000,No price signal
2026-05-13T08:07:26.098880,0.219150,normal,HOLD,43.83,0.000000,No price signal
2026-05-13T08:12:26.105638,0.125137,normal,HOLD,43.83,0.000000,No price signal
2026-05-13T08:17:26.112606,0.286428,price_spike,EXPORT,40.74,0.098511,Price at or above export threshold
2026-05-13T08:22:26.043466,0.143538,normal,HOLD,40.74,0.000000,No price signal
2026-05-13T08:27:26.043867,0.189571,volatile,HOLD,40.74,0.000000,No price signal
2026-05-13T08:32:34.004333,0.262065,price_spike,EXPORT,37.65,0.088361,Price at or above export threshold
2026-05-13T08:37:34.005936,0.288862,price_spike,EXPORT,34.57,0.099526,Price at or above export threshold
2026-05-13T08:42:34.006965,0.164518,volatile,HOLD,34.57,0.000000,No price signal
2026-05-13T08:47:34.004844,0.214589,volatile,HOLD,34.57,0.000000,No price signal
2026-05-13T08:52:34.005654,0.214291,sustained_high_price_event,HOLD,34.57,0.000000,No price signal
2026-05-13T08:57:34.003519,0.213652,sustained_high_price_event,HOLD,34.57,0.000000,No price signal
2026-05-13T09:02:34.067494,0.297939,price_spike,EXPORT,31.48,0.103308,Price at or above export threshold
2026-05-13T09:07:34.073732,0.267900,price_spike,EXPORT,28.40,0.090792,Price at or above export threshold
2026-05-13T09:12:34.080778,0.253022,price_spike,EXPORT,25.31,0.084592,Price at or above export threshold
2026-05-13T09:17:34.087670,0.122884,volatile,HOLD,25.31,0.000000,No price signal
2026-05-13T13:11:36.848226,0.281357,price_spike,EXPORT,22.22,0.096399,Price at or above export threshold
2026-05-13T21:15:16.283521,0.101377,volatile,HOLD,22.22,0.000000,No price signal
2026-05-14T06:01:30.403966,0.253863,price_spike,EXPORT,20.00,0.061159,Price at or above export threshold
2026-05-14T15:01:48.930800,0.273336,price_spike,EXPORT,46.91,0.093057,Price at or above export threshold
2026-05-14T15:06:48.931478,0.133520,normal,HOLD,46.91,0.000000,No price signal
2026-05-14T15:11:48.932882,0.147477,normal,HOLD,46.91,0.000000,No price signal
2026-05-14T16:07:02.980625,0.154782,normal,HOLD,46.91,0.000000,No price signal
2026-05-15T07:38:43.582037,0.152561,normal,HOLD,50.00,0.000000,No price signal
2026-05-15T07:43:43.588447,0.147063,normal,HOLD,50.00,0.000000,No price signal
2026-05-15T07:48:43.596106,0.188711,normal,HOLD,50.00,0.000000,No price signal
2026-05-15T07:53:43.599874,0.218519,normal,HOLD,50.00,0.000000,No price signal
2026-05-15T07:58:43.606093,0.282444,price_spike,EXPORT,46.91,0.096852,Price at or above export threshold
